"site","habitat_type","species","replicate","height_cm","leaf_area_cm2","biomass_g","chlorophyll_content","soil_moisture","soil_ph","temperature_C","light_intensity","nitrogen_ppm","phosphorus_ppm","potassium_ppm","growth_rate_cm_week"
"A","grassland","species2","2",60.33,28.35,5.46,46.53,0.406,5.79,22.39,846.4,39.81,18.83,30.14,3.628
"B","grassland","species2","2",55.58,47.93,16.47,40.32,0.332,6.2,20.26,659.5,39.07,18.28,31.11,6.52
"C","grassland","species2","2",51.6,41.31,8.17,41.16,0.37,5.51,18.92,515.3,26.82,14.9,30.29,3.078
"D","grassland","species2","2",52.61,37.17,6.26,43.87,0.352,6.11,21.56,610.9,20.25,8.69,31.89,0.991
"A","wetland","species2","2",45.83,8.02,15.68,44.64,0.95,6.29,22.16,292.8,50.19,24.41,33.3,3.013
"B","wetland","species2","2",50.73,36.47,12.56,41.05,0.758,5.67,21.59,439.3,39.49,20.37,34.14,5.758
"C","wetland","species2","2",47.15,38.9,12.55,41.11,0.798,5.48,19.16,383.2,41.19,19.3,28.96,0.694
"D","wetland","species2","2",57.97,45.67,14.37,43.34,0.883,6.43,21.34,501.6,33.67,15.74,42.5,6.886
"A","forest","species3","2",66.3,46.95,11.44,55.14,0.703,6.82,22.11,313.4,56.95,19.51,29.56,2.876
"B","forest","species3","2",58.07,49.67,12.9,55.06,0.658,5.48,22.13,94.1,42.71,17.81,36.4,5.874
"C","forest","species3","2",45.51,27.3,8.79,54.35,0.614,5.56,18.96,170.1,37.28,15.24,33.68,0.781
"D","forest","species3","2",62.56,57.04,10.71,58.3,0.666,5.98,20.3,259.8,30.32,10.51,26.11,1.229
"A","grassland","species3","2",61.59,57.53,5.25,49.76,0.455,6.51,23.34,662,44.58,24.24,28.94,6.999
"B","grassland","species3","2",49.26,48.98,13,50.98,0.428,6.79,19.76,634.1,34.69,17.81,26.96,3.105
"C","grassland","species3","2",49.79,47.82,7.4,51.48,0.373,5.56,18.79,492.4,23.46,9.62,27.68,2.518
"D","grassland","species3","2",53.02,38.9,18.13,50.97,0.387,6.19,19.18,567.8,28.65,14.95,31.36,5.134
"A","wetland","species3","2",56.32,44.81,17.29,47.9,0.87,5.97,23.29,525.7,42.06,22.25,31.91,4.331
"B","wetland","species3","2",46.34,49.52,8.39,43.84,0.735,6.53,21.93,446.8,36.3,17.18,34.31,4.2
"C","wetland","species3","2",42.18,39.86,10.5,53.83,0.728,5.81,18.91,316.9,33.96,20.58,34.18,3.073
"D","wetland","species3","2",53.3,46.11,16.26,48.55,0.759,6.37,17.67,502,29.56,8.98,29.79,3.76
"A","forest","species1","3",70.26,69,14.53,41.32,0.608,6.08,21.41,181.7,43.54,21.23,39.36,3.118
"B","forest","species1","3",61.32,42.78,28.75,49.89,0.566,6.85,21.6,250.4,49.78,27.92,27.48,4.196
"C","forest","species1","3",47.32,38.11,12.95,44.3,0.66,6.15,17.78,64.9,43.69,24.93,35.47,4.084
"D","forest","species1","3",59.15,60.33,12.62,49.41,0.562,6.2,20.91,283.7,39.54,21.88,36.43,4.678
"A","grassland","species1","3",67.38,51.41,15.48,42.88,0.438,6.9,25.04,636.4,37.45,23.24,23.57,2.383
"B","grassland","species1","3",43.88,36.45,9.09,39.15,0.381,6.33,21.18,570.1,39.32,20.09,28.88,4.105
"C","grassland","species1","3",46.29,35.57,16.42,40.18,0.351,5.56,18.95,612.5,28.2,9.73,27.57,1.832
"D","grassland","species1","3",55.03,56.36,18.26,37.63,0.335,5.98,19,653.3,21.43,17.35,35.28,1.616
"A","wetland","species1","3",61.88,50.86,14.47,31.23,0.822,5.75,22.96,414.3,44.66,19.87,27.67,2.323
"B","wetland","species1","3",45.26,36.88,8.83,34.37,0.743,6.1,20.31,462.1,36.81,14.58,36,6.171
"C","wetland","species1","3",42.79,27.42,11.97,37.18,0.805,5.68,17.94,367.8,33.8,16.85,32.35,3.041
"D","wetland","species1","3",41.18,28.76,5.65,35.94,0.828,6.35,19.43,402,35.28,17.27,38.34,5.702
"A","forest","species2","3",74.69,44.06,17.4,52.2,0.709,6.24,24.25,268.8,53.99,32.9,46.37,4.064
"B","forest","species2","3",59.67,51.83,12.29,49.05,0.634,6.07,21.57,172.2,52.18,23.89,32.81,1.772
"C","forest","species2","3",56.81,53.92,5.41,46.56,0.626,6.1,17.88,79.5,46.03,24.61,39.02,1.064
"D","forest","species2","3",60.06,34.68,10.51,47.42,0.588,6.09,20.42,50,31.88,12.38,35.92,4.308
"A","grassland","species2","3",66.92,57.55,9.54,37.85,0.392,6.27,22.63,723.5,43.93,25.03,31.76,5.327
"B","grassland","species2","3",58.33,49.96,17.58,47.61,0.379,5.27,19.72,604.9,36,21.17,33.21,2.59
"C","grassland","species2","3",48.48,40.73,4.55,46.51,0.36,5.45,19.52,527.6,33.65,20.31,29.14,3.262
"D","grassland","species2","3",67.13,54.41,14.54,45.73,0.37,6.11,20.18,715.6,36.9,14.43,25.11,2.502
"A","wetland","species2","3",65.35,68.63,9.82,42.36,0.876,6.81,22.51,598,45.43,23.06,39.48,4.282
"B","wetland","species2","3",56.74,48.72,12.95,43.19,0.766,5.74,19.56,248.6,39.84,14.43,28.65,7.81
"C","wetland","species2","3",57.25,59.82,10.24,40.09,0.769,6.1,18.38,438.3,30.59,18.91,29.33,1.51
"D","wetland","species2","3",51.74,45.91,22.98,38,0.799,6.27,20.75,280.3,28.98,14.55,36.87,5.615
"A","forest","species3","3",70.04,60.91,14.24,55.17,0.708,5.45,23.88,193.7,47.77,17.5,38.12,5.44
"B","forest","species3","3",60.93,43.35,17.3,53.51,0.557,6.04,22.84,226.2,48.74,24.22,31.22,2.889
"C","forest","species3","3",50.97,67.68,12.96,56.38,0.543,5.7,20.76,209.5,41.99,20.28,39.68,4.841
"D","forest","species3","3",60.6,47.88,16.85,57.06,0.589,6.08,19.21,344.1,36.2,20.43,41.5,2.621
"A","grassland","species3","3",52.94,37.38,16.64,46.47,0.463,6.85,24.39,561.7,37.98,13.54,33.69,0.975
"B","grassland","species3","3",50.35,44.1,8.45,45.32,0.441,5.27,21.03,493.3,31.6,17.68,30.88,3.136
"C","grassland","species3","3",39.5,35.69,2.56,53.81,0.379,6.11,18.3,575.1,27.58,15.34,29.83,4.563
"D","grassland","species3","3",55.07,51.29,15.37,46.41,0.389,5.48,19.89,551,32.06,16.45,34.31,4.065
"A","wetland","species3","3",50.94,31.61,6.39,43.53,0.896,6.51,22.7,539,38.25,23.5,38.71,4.64
"B","wetland","species3","3",46.6,35.91,16.78,47.01,0.823,6.4,18.69,224.2,37.83,17.44,29.66,4.804
"C","wetland","species3","3",35.77,44.36,1.87,42.9,0.754,5.99,19.16,467.2,27.41,7.34,34.38,3.916
"D","wetland","species3","3",46.77,32.59,0.5,48.12,0.78,6.03,20.82,448.5,28.62,13.91,33.73,5.841
"A","forest","species1","4",60.24,44.63,8.08,42.73,0.688,7.17,22.38,301.4,51.73,24.58,24.82,4.641
"B","forest","species1","4",58.64,53.02,10.37,48.99,0.525,5.92,20.76,314.8,47.51,24.02,37.72,1.041
"C","forest","species1","4",57.93,40.28,22.28,40.33,0.452,5.41,19.21,164.2,45.66,20.13,30.64,3.476
"D","forest","species1","4",61.92,60.88,17.92,47.18,0.597,6.89,19.86,162.9,28.41,17,37.54,4.703
"A","grassland","species1","4",51.17,45.16,18.95,38.79,0.382,6.57,24.61,582.7,41.42,23.62,28.78,2.13
"B","grassland","species1","4",46.9,38.41,3.45,46.27,0.415,5.34,20,558.3,34.85,17.4,26.34,0.044
"C","grassland","species1","4",53.28,26.71,17.18,38.67,0.431,5.7,19.48,575.3,28.33,12.77,31.91,2.465
"D","grassland","species1","4",62.05,46.17,10.79,36.86,0.394,5.72,19.85,653.9,27.96,11.33,28.62,5.65
"A","wetland","species1","4",51.12,61.24,15.4,35.27,0.837,6.81,22.19,506.8,43.81,25.27,38.16,3.994
"B","wetland","species1","4",45.17,33.27,0.5,37.15,0.838,5.78,19.05,366.1,39.02,20.5,33.95,3.374
"C","wetland","species1","4",43.77,41.56,14.18,36.34,0.668,6.07,18.71,435.9,35.81,20.19,32.27,3.584
"D","wetland","species1","4",51.6,32.03,9.68,34.99,0.743,6.07,20.91,443.8,27.17,15.41,33.51,4.201
"A","forest","species2","4",70.1,40.17,14.98,49.71,0.742,6.27,24.31,317.5,50.45,23.67,37.6,3.486
"B","forest","species2","4",58.23,53.68,19.48,50.47,0.574,6.18,20.28,189.3,47.95,26.97,40.18,3.478
"C","forest","species2","4",57.1,60.18,14.39,42.62,0.539,5.67,19.52,128.2,40.55,23.5,39.75,6.498
"D","forest","species2","4",71.05,41.4,16.66,45.25,0.685,5.99,20.96,316.3,26.52,14.49,37.24,4.876
"A","grassland","species2","4",65.12,60.56,18.74,40.01,0.489,6.3,23.63,800,46.73,26.69,29.12,3.15
"B","grassland","species2","4",51.75,44.71,6.78,47.45,0.307,5.6,19.91,585.1,31.45,13.24,27.49,1.927
"C","grassland","species2","4",47.48,34.32,3.51,44.19,0.408,4.87,20.64,451.7,27.58,15.47,36.26,1.748
"D","grassland","species2","4",66.07,70.35,20.28,44.36,0.396,5.69,18.87,765.8,22.78,9.04,36.24,3.702
"A","wetland","species2","4",59.77,37.76,20.36,46.38,0.811,6.96,23.64,324.3,45.85,21.47,36.77,4.573
"B","wetland","species2","4",55.82,43.48,14.74,38.65,0.716,6.5,23.01,453.4,39.71,19.84,31.41,2.117
"C","wetland","species2","4",54.36,50.17,11.84,48.45,0.652,6.27,19.73,269.8,37.12,25.96,35.16,4.04
"D","wetland","species2","4",57.22,34.95,19.7,41.24,0.824,6,18.56,403.1,22.67,8.45,26.51,6.01
"A","forest","species3","4",63.89,62.17,15.05,50.62,0.692,6.38,23.42,223.3,48.05,24.42,37.2,3.82
"B","forest","species3","4",55.8,43.5,14.19,52.3,0.514,5.45,20.02,122.9,42.93,24.27,29.21,2.749
"C","forest","species3","4",48.54,51.12,11.02,54.13,0.471,6,18.73,220.4,41.18,16.38,35.59,7.111
"D","forest","species3","4",65.14,51.88,18.39,56.65,0.663,5.43,19.49,288.9,28.7,8.59,39.93,4.037
"A","grassland","species3","4",57.25,38.45,6.75,49.31,0.466,6.02,24.07,497.1,41.98,23.28,26.36,1.09
"B","grassland","species3","4",55.75,31.19,9.91,47.34,0.424,5.94,20.45,635.6,39.98,15.63,34.1,2.299
"C","grassland","species3","4",40.19,18.42,7.39,46.74,0.307,6,19.75,655.6,34.84,23.49,27.42,2.518
"D","grassland","species3","4",47.76,36.72,2.14,52.04,0.397,6.08,19.92,595.7,19.21,10.58,29.04,5.4
"A","wetland","species3","4",55.72,24.51,16.08,46.63,0.781,6.19,21.65,489.1,45.13,17.58,33.31,4.094
"B","wetland","species3","4",45.12,20.5,10.67,47.87,0.825,5.98,20.34,455.7,35.32,19.41,31.53,2.223
"C","wetland","species3","4",37.48,49.61,4.2,46.5,0.728,5.09,19.38,383.5,39.47,13.42,35.29,5
"D","wetland","species3","4",40.09,30.29,10.12,42.56,0.778,5.55,19.27,285.9,28.38,11.21,37.01,3.837
"A","forest","species1","5",68.15,68.1,16.27,47.99,0.685,5.99,23.48,286.9,47.91,17.36,31.61,3.855
"B","forest","species1","5",54.42,60.02,8.37,45.34,0.572,5.71,20.68,204.5,39.68,19.02,34.47,5.288
"C","forest","species1","5",58.41,47.93,13.22,49.59,0.59,5.7,21.57,56.4,52.55,27.88,35.74,2.058
"D","forest","species1","5",56.24,45.03,8.56,50.2,0.603,6.33,18.9,154.3,34.85,10.59,31.6,1.252
"A","grassland","species1","5",65.63,54.47,17.43,40.43,0.458,6.27,22.61,617.3,38.8,21.47,25.42,3.37
"B","grassland","species1","5",46.75,44.2,3.04,39.27,0.414,5.61,20.39,793.8,36.95,22.29,29.61,2.038
"C","grassland","species1","5",46.46,45.18,10.73,32.41,0.386,5.92,19.75,572.4,36.05,18.98,30.77,3.896
"D","grassland","species1","5",57.49,25.84,16.89,39.95,0.4,6.39,21.14,672.4,26.51,20.04,28.15,6.899
"A","wetland","species1","5",54.41,44,12.91,36.55,0.901,5.83,23.97,408.5,51.77,23.31,27.03,5.58
"B","wetland","species1","5",49.77,45.95,6.84,41.34,0.827,6.02,19.84,509.7,44.2,18.99,28.7,3.756
"C","wetland","species1","5",41.56,31.55,3.3,35.16,0.849,6.42,20.68,426.4,34.47,18.93,23.97,4.666
"D","wetland","species1","5",44.32,37.72,1.28,40.32,0.76,5.65,19.24,478.8,32.13,15.86,32.65,4.757
"A","forest","species2","5",71.65,66.24,18.6,47.84,0.629,6.49,24.62,172.1,55.31,31.75,42.84,6.903
"B","forest","species2","5",71.1,55.4,17.09,48.8,0.623,5.7,21.16,160.7,47.14,23.28,28.99,3.304
"C","forest","species2","5",56.93,60.92,12.82,50.85,0.537,5.36,18.62,104.7,45.82,24.89,32.78,7.17
"D","forest","species2","5",61.91,54.06,17.26,52.4,0.671,6.15,21.51,177.3,36.6,20.86,29.39,4.282
"A","grassland","species2","5",64.73,35.83,7.69,44.52,0.428,7.02,23.97,574.6,40.99,20.46,31.6,4.428
"B","grassland","species2","5",56.65,43.45,15.15,48.22,0.383,5.9,22.25,591.6,33.76,17,27.36,3.655
"C","grassland","species2","5",54.78,49.5,5.37,49.82,0.339,5.08,20.02,517.9,31.12,14.26,28.04,3.314
"D","grassland","species2","5",63.72,52.6,12.85,44.27,0.414,5.72,21.05,578.2,24.14,8.1,30.08,5.479
"A","wetland","species2","5",62.5,36.28,3.42,38.49,0.855,6,23.33,492.8,47.48,21.27,33.38,5.05
"B","wetland","species2","5",57.82,27.42,4.66,41.76,0.735,5.85,20.89,168.8,31.04,15.79,28.12,4.134
"C","wetland","species2","5",43.18,33.86,5.5,45.07,0.728,5.58,19.1,216.6,34.37,16.52,38.77,1.053
"D","wetland","species2","5",43.28,41.5,10.67,40.22,0.873,5.93,18.86,435.2,34.84,15.71,36.55,2.377
"A","forest","species3","5",63.64,43.83,15.37,55.15,0.73,6.74,23.62,330.7,51.16,27.47,34.58,4.13
"B","forest","species3","5",53.42,46.51,16.32,56.77,0.615,6.42,19.61,254,45.93,19.14,41.33,3.929
"C","forest","species3","5",39.42,37.34,10.42,54.15,0.473,5.57,19.12,76.8,29.54,15.05,29.66,3.899
"D","forest","species3","5",61.81,59.2,16.04,52.97,0.692,6.22,20.16,225.8,40.79,20.1,33.74,7.12
"A","grassland","species3","5",54.08,49.14,7,49.37,0.507,6.78,24.22,628,42.42,22.9,37.84,5.472
"B","grassland","species3","5",46.87,39.95,4.35,52.53,0.398,6.13,19.21,601.2,29.52,12,22.78,2.081
"C","grassland","species3","5",35.06,12.39,4.17,45.47,0.37,5.81,20.15,463.9,24.27,11.95,24.98,3.339
"D","grassland","species3","5",53.74,37.91,2.85,47.25,0.476,6.62,20.64,684.4,26.65,14.58,28.83,3.705
"A","wetland","species3","5",64.46,60.15,13.99,44.73,0.893,6.1,22.73,371.5,49.51,21.95,33.62,4.546
"B","wetland","species3","5",40.61,37.01,7.33,42.76,0.857,5.78,21.03,394.8,37.87,12.26,28.33,4.042
"C","wetland","species3","5",39.44,22.57,5.65,44.88,0.681,5.97,17.6,423.6,38.66,15.75,31.57,1.346
"D","wetland","species3","5",57.74,49.38,13.66,54.92,0.753,5.71,18.15,481.8,30.81,15.27,27.08,3.144
"A","forest","species1","1",72.67,57.2,9.43,41.25,0.634,6.24,21.68,215.5,52.55,30,36.47,3.923
"B","forest","species1","1",67.57,66.7,5.76,40.57,0.554,6.6,21.08,50,45.02,26.74,38.83,3.807
"C","forest","species1","1",52.97,42.04,14.39,41.6,0.596,6.73,19.48,173.4,37.72,21.6,34,2.609
"D","forest","species1","1",60.24,44.31,8.49,43.52,0.655,6.15,20.26,178,29.68,12.12,39.96,6.637
"A","grassland","species1","1",57.45,43.36,8.28,35.79,0.447,6.35,22.33,664,32.99,11.6,27.65,4.375
"B","grassland","species1","1",57.17,36.96,10.36,42.53,0.363,5.23,20.23,651.1,32.17,13.1,30.84,3.248
"C","grassland","species1","1",38.57,43.78,4.13,39.49,0.266,6.07,17.76,596.1,28.46,18.08,26.68,2.078
"D","grassland","species1","1",54.54,45.28,18.08,35.41,0.389,5.67,19.98,644.2,25.31,8.29,29.56,1.151
"A","wetland","species1","1",56.77,39.38,17.63,34.88,0.776,6.26,21.93,454,45.32,20.97,33.14,2.109
"B","wetland","species1","1",58.26,50.59,13.11,36.24,0.764,6.17,21.7,430.6,39.01,16.37,28.41,4.281
"C","wetland","species1","1",38.96,39.76,7.05,37.27,0.736,5.3,19.8,470.2,35.52,17.25,34.37,3.764
"D","wetland","species1","1",42.45,29.74,5.87,40.12,0.82,6.81,19.95,367,39.49,18.99,37.07,5.463
"A","forest","species2","1",74.16,56.28,21.96,49.39,0.675,6.47,23.25,223,48.17,25.65,37.98,2.874
"B","forest","species2","1",62.8,49.65,15.22,45.2,0.662,6.57,21.94,222.4,40.69,15.56,39.67,3.693
"C","forest","species2","1",53.8,23.02,12.8,51.31,0.564,5.55,20.5,200.5,42.89,20.41,34.44,2.326
"D","forest","species2","1",66.66,54.88,7.54,48.38,0.515,5.79,20.12,361.9,33.24,19.03,33.98,3.63
"A","grassland","species2","1",63.62,51.32,18.62,41.67,0.41,7.1,22.6,687,44.63,15.46,33.29,3.97
"B","grassland","species2","1",51.61,38.66,8.17,48.41,0.44,6.05,21.98,595.6,33.22,23.95,26.89,3.732
"C","grassland","species2","1",52.5,31.79,13.12,41.9,0.341,5.96,19.63,603.8,29.01,12.81,30.19,3.899
"D","grassland","species2","1",56.34,55.73,12.63,48.51,0.395,6.75,20.79,760.5,29.65,13.7,28.18,3.509
"A","wetland","species2","1",52.83,37.68,18.08,41.53,0.899,6.3,24.51,478,42.08,25.65,37.21,6.584
"B","wetland","species2","1",38.74,32.35,14.79,44.85,0.795,6.15,20.3,348,31.16,11.42,29.98,3.956
"C","wetland","species2","1",44.1,56.41,15.85,44.19,0.799,6.06,18.59,349.6,37.59,20.28,32.39,6.022
"D","wetland","species2","1",62.27,43.9,13.45,41.4,0.804,5.6,19.26,514.7,37.86,21.43,29.61,3.13
"A","forest","species3","1",70.19,49.47,15.37,61,0.683,6.24,23.15,194.6,49.6,26.16,34.51,5.116
"B","forest","species3","1",62.08,51.2,14.32,56.72,0.581,5.7,18.49,336.2,46.08,24.08,39.7,5.788
"C","forest","species3","1",55.91,41.88,14.71,53.01,0.576,6.49,20.31,200.4,38.62,21.13,39.28,5.293
"D","forest","species3","1",60.58,43.54,13.31,54.36,0.642,5.96,21.05,147.2,40.18,21.38,32.72,7.114
"A","grassland","species3","1",50.46,44.47,4.27,49.43,0.444,6.54,22.99,626.5,42.99,24.65,35.65,5.887
"B","grassland","species3","1",49.03,41.52,6.1,54,0.467,5.98,18.97,648,31.07,13.32,32.17,2.96
"C","grassland","species3","1",50.99,30.04,5.58,53.88,0.349,6,18.85,452.5,33.64,17.3,27.09,4.83
"D","grassland","species3","1",34.02,13.41,3.59,54.59,0.439,6.21,20.68,454.6,27.09,12.03,33.87,0.554
"A","wetland","species3","1",51.09,46.86,17.53,52.79,0.899,6.51,24.85,468.9,40.6,20.09,31.41,5.771
"B","wetland","species3","1",50.51,32.02,10.46,47.95,0.821,5.82,22.85,400.4,40.04,14.72,36.74,4.97
"C","wetland","species3","1",42.64,24.56,12.33,47.26,0.736,5.81,19.01,525.7,32.9,11.49,37.24,2.921
"D","wetland","species3","1",51.95,53.92,10.83,50.15,0.747,5.74,19.12,476,21.62,9.83,31.34,4.317
"A","forest","species1","2",70.29,56.99,20.72,46.92,0.706,6.11,24.48,246.5,51.01,27.85,40.89,4.284
"B","forest","species1","2",60.69,43.16,4.4,46.99,0.495,6.36,22.37,107.3,42.98,16.83,37.15,5.029
"C","forest","species1","2",53.07,50.19,9.22,44.58,0.58,5.93,20.33,154.8,40.77,23.29,37.99,1.878
"D","forest","species1","2",56.42,58.18,11.97,48.93,0.559,6.09,20.98,264.2,35.92,20.69,33.42,7.419
"A","grassland","species1","2",53.87,52.94,13.64,41.79,0.447,6.15,20.41,651.3,36.17,16,26.69,2.839
"B","grassland","species1","2",50.18,30.03,9.68,43.16,0.396,5.59,21.08,493.6,27.8,15.85,29.41,1.861
"C","grassland","species1","2",42.89,28.25,8.01,39.66,0.261,6.26,18.51,703.8,25.53,8.02,36.52,1.352
"D","grassland","species1","2",48.5,41.97,16.07,39.99,0.387,6.07,20.38,695.1,23.73,7.91,26.7,4.744
"A","wetland","species1","2",59.09,33.62,16.2,34.29,0.786,6.36,23.55,504.1,44.07,22.2,33.47,5.532
"B","wetland","species1","2",47.77,34.39,8.6,39.58,0.746,6.63,21.4,549.3,44.39,22.66,36.61,3.63
"C","wetland","species1","2",49.32,39.31,10.3,33.2,0.74,5.73,18.7,323.5,36.03,21.38,34.25,3.957
"D","wetland","species1","2",44.39,34.86,12.86,32.94,0.796,6.48,19.89,400.3,37.62,16.68,36.44,3.243
"A","forest","species2","2",70.41,58.56,7.89,53.81,0.687,5.56,22.7,298.6,47.65,22.28,34.02,3.604
"B","forest","species2","2",62.63,51.93,18.22,41.86,0.549,6.3,20.73,292.9,50.04,25.49,30.9,2.044
"C","forest","species2","2",50.96,49.68,17.88,51.81,0.511,6.34,19.37,132.1,40.4,24.21,37.53,2.825
"D","forest","species2","2",64.58,51.13,11.51,46.4,0.622,5.95,19.28,276.3,38.87,17.83,34.29,5.604
"A","grassland","species2","2",61.46,40.87,13.95,48.18,0.357,6.56,21.73,557,43.47,19.93,29.57,1.68
"B","grassland","species2","2",44.26,34.2,1.68,45.9,0.392,6.03,20.64,526.2,33.87,22.99,33.45,1.54
"C","grassland","species2","2",48.58,36.77,9.84,45.23,0.338,5.76,18.15,404.5,33.16,12.51,36.57,4.845
"D","grassland","species2","2",55.33,44.66,13.44,46.69,0.372,6.25,20.49,641.4,28.19,13.98,27.12,2.676
"A","wetland","species2","2",67.67,68.94,11.49,42.74,0.822,6.69,22.43,583.5,40.95,18.56,37.15,7.477
"B","wetland","species2","2",48.98,44.85,10.03,40.4,0.718,6.3,21.72,388,44.99,21.08,42.71,3.974
"C","wetland","species2","2",49.79,57.73,6.08,38.49,0.711,5.63,18.31,439,33.97,15.56,37.72,2.539
"D","wetland","species2","2",55.71,55.71,11.76,42.42,0.8,6.05,20.16,351.7,33.67,15.49,33.88,3.416
"A","forest","species3","2",59.82,65.79,12.06,53.48,0.627,5.6,22.46,192.1,56.06,29.33,38.86,4.006
"B","forest","species3","2",57.87,32.65,15.25,56.85,0.563,6.16,19.84,164.1,42.8,23.28,32.52,2.848
"C","forest","species3","2",50.47,33.3,14.65,51.69,0.443,6.07,19.23,261.5,35.86,19.37,39.48,2.072
"D","forest","species3","2",59.83,42.3,21.54,50.13,0.627,5.95,20.2,318.6,41.32,22.8,36.62,3.157
"A","grassland","species3","2",61.29,45.93,17.87,51.35,0.389,6.24,24.57,818.7,35.16,17.84,30.5,6
"B","grassland","species3","2",48.57,35.09,8.39,54.02,0.388,5.93,21.38,657.6,30.78,15.29,28.18,2.026
"C","grassland","species3","2",50.93,45.33,10.09,50.81,0.352,5.82,20.16,497,31.53,15.72,37.19,3.81
"D","grassland","species3","2",51.58,28.65,19.86,49.12,0.44,6.16,20.86,534,27.25,12.29,30.33,2.93
"A","wetland","species3","2",48.73,33.71,4.54,46.94,0.844,7.01,22.76,545.2,46.47,20.97,28.89,4.294
"B","wetland","species3","2",48.71,33.4,9.88,50.55,0.772,6.9,19.46,303.1,41.21,15.48,29.61,4.273
"C","wetland","species3","2",33.89,23.36,18.86,45.31,0.7,5.56,18.84,328.7,45.24,26.87,29.8,4.051
"D","wetland","species3","2",38.41,24.68,6.08,47.18,0.872,6.44,19.42,424.9,30.78,15.84,31.64,3.976
"A","forest","species1","3",63.95,63.19,8.36,44.86,0.653,6.86,23.48,315.4,46.64,25.08,41.89,3.399
"B","forest","species1","3",54.28,51.11,13.27,45.26,0.543,5.87,20.81,356,41.84,20.25,39.95,2.662
"C","forest","species1","3",49.96,42.35,4.45,48.26,0.456,6.33,21.08,50,35.08,21.3,37.48,3.674
"D","forest","species1","3",69.03,41.08,8.51,46.32,0.643,6.4,18.57,293.1,34.35,15.93,32.92,4.041
"A","grassland","species1","3",68.18,83.88,14.34,40.44,0.464,6.75,23.61,698.6,36.68,21.11,24.91,5.106
"B","grassland","species1","3",53.63,52.25,5.77,35.26,0.454,6.87,21.7,541.3,34.83,15.31,37.34,2.74
"C","grassland","species1","3",38.63,43.24,5.71,39.85,0.405,5.91,20.14,777.3,26.92,14.38,32.05,0.841
"D","grassland","species1","3",53.12,23.58,17.86,41.78,0.533,6.41,18.66,665.9,30.53,13.43,32.35,4.785
"A","wetland","species1","3",59.44,45.32,23,37.93,0.786,6.61,24.04,426.1,48.73,28.74,34.1,4.17
"B","wetland","species1","3",46.31,44.73,6.34,34.16,0.739,6.18,21.41,371,38.93,22.43,38.83,4.144
"C","wetland","species1","3",42.86,38.17,6.87,35.05,0.675,5.39,19.23,276,40.41,15.49,37.13,1.216
"D","wetland","species1","3",45.28,42.31,10.91,34.89,0.79,6.65,19.67,461.7,36.13,19.11,31.89,5.915
"A","forest","species2","3",66.56,59.15,9.77,47.02,0.688,6.65,21.16,272.5,50.13,25.94,37.5,1.658
"B","forest","species2","3",70.04,51.68,15.8,52.79,0.62,6.13,20.04,264.8,47.08,18.19,34.15,4.775
"C","forest","species2","3",59.34,44.96,7.9,52.75,0.599,6.62,17.58,294.2,41.27,22.65,28.52,2.239
"D","forest","species2","3",63.96,41.9,10.23,52.48,0.552,5.94,20.72,180.3,37.12,23.28,37.15,1.84
"A","grassland","species2","3",66.63,64.18,14.41,43.21,0.449,6.07,22.98,746.1,39.85,25.63,25.49,4.79
"B","grassland","species2","3",65.31,32.81,14.23,44.51,0.424,6.17,21.3,475.1,32.27,19.44,32.68,4.997
"C","grassland","species2","3",51.81,38.64,15.32,46.33,0.358,5.16,17.61,455.4,37.16,15.79,34.64,5.05
"D","grassland","species2","3",65.06,60.17,12.58,47.73,0.481,6.03,20.24,631.7,22.92,13.22,31.2,6.79
"A","wetland","species2","3",68.84,52.99,18.42,41.91,0.808,6.32,23.82,508.3,46.41,24.9,32.27,4.381
"B","wetland","species2","3",49.96,54.48,2.24,41.02,0.831,6.57,19.61,409.7,41.02,19.62,27.65,2.519
"C","wetland","species2","3",50.81,49.07,12.33,35.06,0.758,5.36,18.81,313,36.58,15,31.23,1.122
"D","wetland","species2","3",51.74,32.74,15.45,41.39,0.84,6.11,18.81,378,20.92,13.16,28.21,3.444
"A","forest","species3","3",58.63,46.31,12.67,52.65,0.571,5.92,23.44,361.8,40.39,21.6,31.74,2.254
"B","forest","species3","3",49.99,40.11,10.07,56.35,0.642,6.4,21.64,145.3,39.62,17.21,28.36,5.962
"C","forest","species3","3",50.26,42.9,8.84,53.62,0.586,5.99,19.73,228.6,35.01,14.27,37.27,5.237
"D","forest","species3","3",67.99,49.11,16.09,56.84,0.627,5.38,20.84,196,20.72,7.8,41.59,7.082
"A","grassland","species3","3",58.52,40.65,17.06,49.3,0.433,6.02,22.11,812,46.2,22.93,34,3.26
"B","grassland","species3","3",43.99,32.56,14.01,47.57,0.479,6.52,21.86,527.9,34.36,14.98,33.64,5.279
"C","grassland","species3","3",44.15,44.44,10.53,43.58,0.34,6.1,19.53,502.4,28.59,15.43,33.68,4.161
"D","grassland","species3","3",54.49,54.83,9.39,47.38,0.441,6.07,19.87,682.5,18.67,11.55,22.38,2.883
"A","wetland","species3","3",48.52,32.78,19.08,48.23,0.822,6.45,22.44,370.2,45.61,21.37,37.47,2.306
"B","wetland","species3","3",39.73,32.33,13.19,45.61,0.791,6.11,21.87,358.6,32.52,14.24,42.74,6.616
